跳水明星

一、中国跳水世界冠军一览表
　
时间 姓名 单位 性别 项目 比赛名称 地点
1981 史美琴 上海 女 三米跳板 第二届世界杯跳水赛 墨西哥
1981 陈肖霞 广东 女 十米跳台 第二届世界杯跳水赛 墨西哥
1981 李宏平 广东 男 十米跳台 第二届世界杯跳水赛 墨西哥
1983 李艺花 河北 女 三米跳板 第三届世界杯跳水赛 美国
1983 李艺花 河北 女 女子团体 第三届世界杯跳水赛 美国
1983 李艺花 河北 女 混合团体 第三届世界杯跳水赛 美国
1983 周继红 湖北 女 十米跳台 第三届世界杯跳水赛 美国
1983 周继红 湖北 女 女子团体 第三届世界杯跳水赛 美国
1983 周继红 湖北 女 混合团体 第三届世界杯跳水赛 美国
1983 陈肖霞 广东 女 女子团体 第三届世界杯跳水赛 美国
1983 陈肖霞 广东 女 混合团体 第三届世界杯跳水赛 美国
1983 彭园春 湖南 女 女子团体 第三届世界杯跳水赛 美国
1983 彭园春 湖南 女 混合团体 第三届世界杯跳水赛 美国
1983 李宏平 广东 男 混合团体 第三届世界杯跳水赛 美国
1983 童辉 湖北 男 混合团体 第三届世界杯跳水赛 美国
1983 李孔政 广西 男 混合团体 第三届世界杯跳水赛 美国
1983 谭良德 广东 男 混合团体 第三届世界杯跳水赛 美国
1984 周继红 湖北 女 十米跳台 第二十三届奥运会 美国
1985 李艺花 河北 女 三米跳板 第四届世界杯跳水赛 上海
1985 李艺花 河北 女 女子团体 第四届世界杯跳水赛 上海
1985 李艺花 河北 女 混合团体 第四届世界杯跳水赛 上海
1985 周继红 湖北 女 女子团体 第四届世界杯跳水赛 上海
1985 周继红 湖北 女 混合团体 第四届世界杯跳水赛 上海
1985 陈肖霞 广东 女 女子团体 第四届世界杯跳水赛 上海
1985 陈肖霞 广东 女 混合团体 第四届世界杯跳水赛 上海
1985 李巧贤 广东 女 女子团体 第四届世界杯跳水赛 上海
1985 李巧贤 广东 女 混合团体 第四届世界杯跳水赛 上海
1985 谭良德 广东 男 三米跳板 第四届世界杯跳水赛 上海
1985 谭良德 广东 男 男子团体 第四届世界杯跳水赛 上海
1985 谭良德 广东 男 混合团体 第四届世界杯跳水赛 上海
1985 童辉 湖北 男 十米跳台 第四届世界杯跳水赛 上海
1985 童辉 湖北 男 男子团体 第四届世界杯跳水赛 上海
1985 童辉 湖北 男 混合团体 第四届世界杯跳水赛 上海
1985 李孔政 广西 男 男子团体 第四届世界杯跳水赛 上海
1985 李孔政 广西 男 混合团体 第四届世界杯跳水赛 上海
1985 李宏平 广东 男 男子团体 第四届世界杯跳水赛 上海
1985 李宏平 广东 男 混合团体 第四届世界杯跳水赛 上海
