透析中印关系：中印关系大事年表

1950年04月　印中正式建立外交关系
1954年06月　周恩来总理访问印度
1954年10月　贾瓦哈拉尔.尼赫鲁总理访华
1956年11月　周恩来总理访问印度。
1957年01月　周总理访问印度
1960年04月　周恩来总理访问印度
1976年07月　重建大使级外交关系
1979年02月　外交部长A.B.瓦杰柏伊访华
1988年12月　拉吉夫.甘地总理访华。双方同意在各个领域发展友好关系，并为通过和平和友好的协商，公正合理和双方可接受地解决边界问题创造了良好的环境
1991年12月　李鹏总理访问印度
1992年07月　印度国防部长Sharad Pawar访华
1992年05月　R.文卡塔拉曼总统访华
1993年01月　人民院议长Shivraj Patil访华
1993年09月　纳拉辛格·拉奥总理访华。这次访华最有意义的发展是签署了维持印中边境地区实际控制线的和平和安宁协议。为了帮助边界问题联合工作组的工作，还成立了一个印-中专家组
1993年12月　中国人民政治协商委员会主席李瑞环访问印度
1994年09月　国防部长迟浩田访问印度
1994年10月　K.R.纳拉亚南副总统访华
1995年11月　全国人民代表大会委员长乔石访问印度
1996年11月　江泽民主席访问印度，在江主席成功地访问印度期间，签订了一个广受欢迎的关于建立信任措施的协议(CBM)
1997年12月　中共中央政治局委员尉健行访问印度
1998年05月　印度连续进行了核试验，并以“中国威胁”为借口对我进行无端指责
1999年02月　中印两国外交部官员在北京会晤，确认双方互不构成威胁
2000年05月　印度总统科切里尔.纳拉亚南对我国进行访问
2001年01月　李鹏委员长再次访印，促进了两国进一步的交流与合作
