历届诺贝尔文学奖获奖作家

时间 作家 国籍 获奖理由
   1901 苏立·普吕多姆 法国 “是高尚的理想、完美的艺术和罕有的心灵与智慧的实证”
   1902 特奥多尔·蒙森 德国 “今世最伟大的纂世巨匠，此点於其巨著《罗马史》中表露无疑”
   1903 比昂斯滕·比昂松 挪威 “他以诗人鲜活的灵感和难得的赤子之心，把作品写得雍容、华丽而又缤纷”
   1904 弗雷德里克·米斯塔尔 法国 “他的诗作蕴涵之清新创造性与真正的感召力，它忠实地反映了他民族的质朴精神”
   1904 何塞·埃切加赖 西班牙 “由于它那独特和原始风格的丰富又杰出作品，恢复了西班牙喜剧的伟大传统”
   1905 亨利克·显克维支 波兰 “由于他在历史小说写作上的卓越成就”
   1906 乔祖埃·卡尔杜齐 意大利 “不仅是由于他精深的学识和批判性的研究，更重要是为了颂扬他诗歌杰作中所具有的特色、创作气势，清新的风格和抒情的魅力”
   1907 约瑟夫·鲁德亚德·吉卜林 英国 “这位世界名作家的作品以观察入微、想象独特、气概雄浑、叙述卓越见长”
   1908 鲁道尔夫·欧肯 德国 “他对真理的热切追求、他对思想的贯通能力、他广阔的观察，以及他在无数作品中辩解并阐释一种理想主义的人生哲学时所流露的热诚与力量”
   1909 西尔玛·拉格洛夫（女） 瑞典 “由于她作品中特有的高贵的理想主义。丰饶的想象力、平易而优美的风格”
   1910 保尔·约翰·路德维希·冯·海塞 德国 “表扬这位抒情诗人、戏剧家、小说家以及举世闻名的短篇小说家，在他漫长而多产的创作生涯中，所达到的充满理想主义精神之艺术臻境”
   1911 莫里斯·梅特林克 比利时 “由于他在文学上多方面的表现，尤其是戏剧作品，不但想象丰富，充满诗意的奇想，有时虽以神话的面貌出现，还是处处充满了深刻的启示。这种启示奇妙地打动了读者的心弦，并且激发了他们的想象”
   1912 盖哈特·霍普特曼 德国 “欲以表扬他在戏剧艺术领域中丰硕、多样而有出色成就”
   1913 罗宾德拉纳特·泰戈尔 印度 “由于他那至为敏锐、清新与优美的诗；这诗出之于高超的技巧，并由于他自己用英文表达出来，使他那充满诗意的思想业已成为西方文学的一部分”
   1914 未颁奖
