05春夏流行面料评审入围产品 
 
　　由中国纺织信息中心/国家纺织产品开发中心组织的中国流行面料入围评审活动日前结束，共有82家企业的182个产品入围。入围产品名单如下（排名不分先后）： 

　　企业名称 面料名称 

　　北京天彩纺织服装有限公司 彩棉凉爽绸 
　　北京天彩纺织服装有限公司 彩棉天鹅绒布 
　　北京金羊毛纺有限公司 飘 
　　宜兴乐祺纺织印染有限公司 棉锦弹力府绸布 
　　上海中大科技发展有限公司织物涂层厂 蜂巢提花布 
　　上海傲韵纺织有限公司 疏密条府绸 
　　上海傲韵纺织有限公司 凸条泡泡纱 
　　上海傲韵纺织有限公司 磨花牛仔 
　　上海傲韵纺织有限公司 仿旧整理提花布 
　　上海傲韵纺织有限公司 仿旧整理烂花布 
　　天津纺织集团天一有限公司 风琴条 
　　天津纺织集团天一有限公司 阳春白雪 
　　天津纺织集团天一有限公司 春柳婆娑 
　　天津荣泽纺织有限公司 稀密筘仿麻细纺 
　　邯郸圣绵纺织有限公司 超爽斜纹布 
　　保定依棉集团有限公司 青丝萝 
　　保定依棉集团有限公司 粒粒丝竹呢 
　　河北新大东纺织印染有限公司 天丝绸牛仔布 
　　山西绿洲纺织有限责任公司 麻丝绉 
　　哈尔滨亚麻纺织技术开发中心 麻丝条 
　　哈尔滨亚麻纺织技术开发中心 麻棉弹力绉 
　　哈尔滨亚麻纺织技术开发中心 巨鳄绉 
　　哈尔滨亚麻纺织技术开发中心 田野 
　　无锡市天然纺织实业有限公司 弹力棉锦面料 
　　苏州加图蕾丝刺绣有限公司 扎染棉布绣 
　　苏州加图蕾丝刺绣有限公司 马甲距阵麻布绣 
　　苏州加图蕾丝刺绣有限公司 扎染贴布绣花 
　　江苏龙华集团有限公司 色织全棉梯级布 
　　江苏龙华集团有限公司 棉锦纱罗弹力条 
　　江苏茶梅灯芯绒集团公司 涤棉灯芯绒 
　　江苏茶梅灯芯绒集团公司 超细复合纤维灯芯绒 
　　江苏新民纺织科技股份有限公司 晶条乔其 
　　江苏新民纺织科技股份有限公司 丝晶格 
　　江苏省泰州吉泰毛纺织染厂 易护理弹力花呢 
　　江苏泛佳亚麻纺织厂有限公司 纯亚麻色织布 
　　如皋顺远服饰有限公司 菱形大提花 
　　如皋顺远服饰有限公司 隐条大提花 
　　如皋顺远服饰有限公司 大提花剪花 
　　如皋顺远服饰有限公司 斜线条大提花 
　　如皋顺远服饰有限公司 弹力凸条大提花 
　　江苏天伦染织实业有限公司 抗紫外线色织布 
　　江苏阳光集团 高级弹力花呢 
　　江阴阳光织染股份有限公司 大理石麻棉牛仔布 
　　常州三毛纺织集团有限公司 眩影 
　　无锡协新集团有限公司 毛涤麻花呢 
　　无锡协新集团有限公司 毛丝花呢 
　　苏州东吴丝织厂有限责任公司 丝棉格 
　　苏州东吴丝织厂有限责任公司 烂花绫 
　　海澜集团公司 天然素丽呢 
　　海澜集团公司 高级天然华丽呢 
　　海澜集团公司 派克呢 
　　海澜集团公司 梦幻时尚呢 
　　张家港市普坤纺织实业有限公司 毛涤天丝花呢 
　　江苏丹毛纺织有限公司 羊绒哔叽 
　　浙江嘉兴兰宝大洋毛纺有限公司 节子大花呢 
　　宁波侨泰兴纺织有限公司 彩条单面平纹布 
　　富丽达集团控股有限公司 闪光竹节变色龙 
　　富丽达集团控股有限公司 条纹花呢 
　　富丽达集团控股有限公司 苎麻特爽呢 
　　杭州良记布业有限公司 针织牛仔 
　　粤华纺织有限公司 磨花 
　　粤华纺织有限公司 巴厘纱印花 
　　粤华纺织有限公司 米地亚烂花烫银 
　　粤华纺织有限公司 冰纱纺 
　　粤华纺织有限公司 泰国麻 
　　杭州万谷纺织有限公司 浮雕花绉 
　　杭州华信化纤织染有限公司 条纹布 
　　杭州华信化纤织染有限公司 平纹 
　　杭州华信化纤织染有限公司 提花 
　　杭州华信化纤织染有限公司 双色斜纹
