黄金十年的珍贵资料
1980 年

歌名 歌手
1 兰花草 刘文正
2 阳光空气 威镇乐队
3 流浪之歌 陈秀雯
4 让我奔放 罗文
5 浪涛 张德兰
6 残梦 关正杰
7 少年梦 区瑞强
8 渺渺情 汪明荃
9 分分钟需要你 林子祥
10 阿里巴巴 林子祥
11 风云 仙杜拉
12 戏剧人生 叶振棠
13 上海滩 叶丽仪
14 心中的细雨 黄恺欣
15 人生长跑 叶振棠
16 飞越彩虹 陈百强
17 闪闪星晨 钟镇涛
18 温情满世间 关菊瑛
19 不再流泪 陈百强
20 京华春梦 汪明荃
21 良夜好歌声 关正杰
22 亲情 罗文
23 一个小心愿 邓丽君
24 忘了我是谁 王海玲
25 夜夜念奴娇 许冠杰
26 人在旅途洒泪时 关正杰、雷安娜
27 每日怀念你 徐小凤
28 大内群英 叶振棠
29 轮流转 郑少秋
30 万般情 叶丽仪
31 风尘泪 张德兰
32 水霞 区瑞强
33 情在深时 甄妮
34 用爱将心偷 汪明荃
35 原乡情浓 邓丽君
36 有智慧不要浪费 路家敏、林子祥
37 乱世儿女 仙杜拉
38 在水中央 林子祥
39 星 关正杰
40 相逢有如梦中 薰妮
41 珍惜好年华 陈秋霞

　
1981 年

1 珍惜好年华 陈秋霞
2 喝采 陈百强
3 忘记他 邓丽君
4 二等良民 彭健新
5 做人爱自由 郑少秋
6 印象 许冠杰
7 倩影 蔡枫华
8 红棉 罗文
9 遨游万里 何国禧
10 小燕 关菊瑛
11 忘忧草 陈美龄
12 故乡的风 张明敏
13 谱一首爱的歌 邓霭霖
14 找不着藉口 叶振棠
15 情谜 李龙基
16 点滴情怀 区瑞强
17 偷偷地 陈迪匡
18 逍遥四方 徐小凤
19 千王群英会 汪明荃
20 他的一生 林子祥
21 期待 关正杰
22 愿你待我真的好 叶丽仪、叶振棠
23 这是爱 泰迪罗宾
24 烟外晓云轻 蔡枫华
25 一点烛光 关正杰
26 孩子，不要难过 薰妮
27 懒洋洋的夏季 罗文
28 小草 何国禧
29 爱像一首歌 邓丽君
30 有了你 陈百强
31 武侠帝女花 张德兰
32 想将来 谭咏麟
33 杨门女将 汪明荃
34 旧梦不须记 雷安娜
35 又见月明 区瑞强
36 飞鹰 郑少秋
37 不要说离去 威利
38 风的季节 徐小凤
39 大侠霍元甲 叶振棠
40 东方之珠 甄妮
41 未尝便醉 张明敏
42 爱的咒语 陈美龄
43 笛子姑娘 叶振棠
44 醉红尘 关正杰
45 活色生香 林子祥
46 让我坦荡荡 钟镇涛

　
1982 年

1 让我坦荡荡 钟镇涛
2 在原野上 关正杰
3 水上人 邓丽君
4 沙漠小子 林子祥
5 告诉我 叶丽仪
6 最佳拍档 许冠杰
7 不可以不想你 钟镇涛
8 蒙尘的巨龙 张明敏
9 木头人 甄妮
10 好姻缘 汪明荃、罗文
11 童年 张艾嘉
12 彩云曲 雷安娜
13 大号是中华 徐小明
14 归航 方伊琪
15 稻草人 李龙基
16 空山灵雨 郑人文
17 雨丝情愁 谭咏麟
18 心事 黄绮嘉
19 让我带回家 郑少秋
20 雨忘烟水里 关正杰、关菊瑛
21 今晚夜 陈洁灵
22 再等待 叶振棠
23 情若无花不结果 张德兰
24 人之初 蔡枫华
25 涟漪 陈百强
26 咏梅 关正杰
27 紫玉坠 张德兰
28 早春二月 蔡枫华
29 万水千山纵横 关正杰
30 身体语言 罗文
31 快将烦恼尽忘记 李丽蕊
32 可爱的笑容 彭健新
33 梦里梦外 邓惠欣
34 痴心开心的我 区瑞强
35 花艇小英雄 李龙基
36 勇敢的中国人 汪明荃
37 感情的段落 林志美
38 初次尝到寂寞 邓丽君
39 珍珠泪 陈美龄
40 那天再重聚 区瑞强
41 小生怕怕 谭咏麟
42 忘尽心中情 叶振棠
43 心债 梅艳芳
44 我是中国人 张明敏
45 古都罗马 林子祥
46 星星问 徐小凤


1983 年

1 万水千山总是情 汪明荃
2 今宵多珍重 陈百强
3 你的眼神 蔡琴
4 投降吧 林子祥
5 星光的背影 徐小凤
6 爱定你一个 甄妮
7 愿望就是明天 罗文
8 几多愁 邓丽君
9 黄帝子孙 郑少秋
10 跟拒做个friend 许冠杰
11 何必曾相识 蔡枫华
12 玛莉我好钟意你 许冠杰
