GRE最新笔考考场地点

笔考地点
　　10183 – Beijing, Peking University
　　10261 – Beijing, Beijing Technology and Business University
　　10262 – Beijing, Beijing University of Aeronautics and Astronautics
　　10520 – Beijing, Beijing Language and Culture University
　　10604 – Beijing, Tsinghua University
　　10605 – Beijing, Beijing Capital Normal University
　　10606 – Beijing, Beijing Foreign Studies University
　　10609 – Beijing, Beijing Normal University
　　10265 – Changsha, Hunan University
　　10122 – Chengdu, Sichuan University
　　10138 – Chongqing, Sichuan Foreign Language Institute
　　10169 – Dalian, Dalian Foreign Language Institute
　　10139 – Guangzhou, Guangzhou Foreign Language & Trade Univ.
　　10237 – Hangzhou, Hangzhou Institute of Commerce
　　10244 – Harbin, Heilongjiang University
　　10253 – Hefei, University of Science and Technology
　　10292 – Jinan, Shandong University
　　10319 – Kunming, Yunnan University
　　10453 – Nanchang, Jiangxi Normal University
　　10428 – Nanjing, Nanjing University
　　10513 – Shanghai, Jiaotong University
　　10607 – Shanghai, East China Normal University
　　10610 – Shanghai, Shanghai International Studies University
　　10264 – Shenzhen, Shenzhen University
　　10621 – Tianjin, Tianjin University
　　10517 – Urumqi, Xinjiang University
　　10641 – Wuhan, Wuhan University
　　10685 – Wuhan, Huazhong University of Science and Technology
　　10642 – Xiamen, Xiamen University
　　10688 – Xian, Xian Foreign Language Institute
