词根总结

ag,act 做，驱动 agent代理人 active活动的，积极的
agr 农田 agriculture农业 agrarian田地的
am 爱，亲爱 amicable友善的 amiable和蔼可亲的
anim 心灵，精神，生命 animal动物 animate有生命的
ann，enn 年 annual一年的 centennial一世纪的
astro 星 astronomy天文学 astronaut宇宙航行员
audi 听 audience听众 audible听得见的
bell 战争 rebellion反叛，反抗 bellicose好战的
bio 生命，生物 biology生物学 antibiotic抗生的,抗生素
brev 短 brevity 简短 abbreviate缩短，节略
cede 走 precedent先行的，在前的 precede先行
cent 百 centimeter厘米 centigrade百分度的
center,centr 中心 concentrate集中 centrifugal离心力的
cide,cis 杀，切 suicide自杀 bactericide杀菌剂
claim,clam 叫喊 exclaim惊叫 proclaim宣布，宣告
clar 清楚，明白 declare表明，声明 clarify讲清楚
clud，clos 关闭 close关闭 exclude排斥
cogn 知道 recognize承认 cognitive认识的
cord 心 cordial衷心的 core核心
cosm 宇宙，世界 osmic宇宙的 cosmos宇宙
cred 相信 credibility可信 credit信任
cur,cours 跑 ccurrence出现，发生 current流通的
cycl 圆，环 bicycle自行车 cyclone旋风
di 日 diary日记 diarist记日记者
dict 说 predict预言 indicate表示
duc,duct 引导 conduct指导 induce引诱
ed 吃 edible可吃的 edacity贪吃
fact 做，制 factory工厂 manufacture制造，加工
fer 带,拿 transfer转移 ferry渡船
flu 流 fluent流利的 influenza流行性感冒
form 形式，外形 transform改变 formula公式
fract,frag破，折 fraction碎片 fragile易碎的
fus 倾，注，溶化 fusion熔解 effuse泻出
gen 起源 generate使产生 genetic遗传的
geo 地球，土地 geography地理 geology地质学
grad 步，走，级 gradual逐步的 graduate毕业
gram 写，记录 diagram图表 program节目单，方案
graph 写,画，记录 photograph照像 autograph亲笔，手稿
gress 行走 progress进步 retrogress后退
hap 机会，运气，偶发 happen发生 mishap灾祸
hospit 客人 hospital医院 hospitable好客的，殷勤的
insul 岛 peninsula半岛 insulation隔绝，孤立
hydra 水 hydraulic水利的 hydrant消防栓
ject 投，掷，抛 eject射出 project投射
junct 连接，结合 conjunction连接词 adjunct附属物
lect,leg,lig 挑选，采集 lect 选举 selection选举 eligible合格的，合适的
lev 举，升 elevator电梯 lever杠杆
liber 自由 liberate解放 liberalist自由主义的
lingu 语言 linguist语言学家 bilingual两种语言的
liter 文字，字母 literate识字的 literature文学
loc 地方 local当地的 locate使座落于
log 词，语言，讲演 dialogue对话 logic逻辑
loqu 说话 eloquent雄辩的 colloquial口语的，会话的
manu 手 manuscript手稿 manual手的，用手的
medi 中间 medium中等的 mediation居中调解
memor 记忆，记住的 memory记忆 memorial纪念日，纪念物
milit 兵 military军事的 militant战斗性的
min 少，小 inority少数 diminish减少，减小
mob,mot,mov 移动 mobile活动的 motion运动 immovable不可移动的
mort 死亡 mortal终有一死的 mortician承办殡葬的人
nov 新 novel小说 novelty新奇
numer 数 numeral数字的 numerous为数众多的
oper 工作 operate操作 cooperate合作
opt 视线，光线 optic视力的 optics光学
path 感情，苦楚，疾病 sympathy同情 pathetic可怜的
pel 推，逐，驱 expel驱逐 repel击退，反击，抵抗
pend,pen 悬挂 depend依靠 pendent悬空的
phon 声音 microphone扩音器 telephone电话
plen 满，全 plenty充足，大量 plentitude丰富，充足
pon,pos 放置 postpone推迟 position位置
popul 人民 population人口 popular人民的，大众的
port 搬运，带 portable可携带的 porter搬运工人
prim 第一，首要 primary最初的 primitive原始的
psych 精神 psychology心理学 psychic精神的
pur 清，纯，净 purify使纯净 depurate使净化
rect 正，直 erect直立的 correct改正
rid,ris 笑 ridicule嘲笑 derision笑柄，嘲笑
rupt 破 rupture破裂，裂开 interrupt中断
scend,scens,scent 爬 ascend上，升 descent下降
sci 知道 science科学 conscious有知觉的
sens,sent 感觉 sensation感觉 sentiment感情
sol 太阳 solar太阳的 parasol阳伞
spec 看 spectacle光景，景象 prospect展望
spir 呼吸，生命 conspire共谋 inspire吸气，鼓舞
tact,tang,tag 接触 intact未接触的 tangible可接触的
tail 切，割 tailor裁缝 retail零售
tain,ten,tin 保持，握，容纳 contain容纳 obtain取得,sustain支持
tect 掩，盖 detect侦察 发觉,detective侦探的
tele 远 telescope望远镜 telegram电报
tend,tens,tent 伸 extend伸开，扩展 extensive广阔的
text 编织 textile纺织的 texture组织，结构
therm 热 thermal热的 thermometer温度计
tor,tort 扭，扭转 orsion扭转 distortion歪曲
tract 拖，拉，吸引 attract吸引 attractive有吸引力的
un,uni 一 unite统一，联合 union联合，工会
ut 用 utility有用 utilize利用
vac,van 空，空虚 vacation假期 vanity空虚，虚荣
vari 变化 various各样的 variant变异的，不同的
ven 来 intervene干预，介入 prevent防止
vert,vers 转 adverse相反的 convert转换
vid,vis 看见 evident明显的 visible可见的
vit,viv 生活，生存 vital生命的 survival幸存
volv 滚动 revolve旋转 involve卷入
wis,wit 知道 wisdom智慧 witty机敏的
