2004年NBA入选新秀完全名单

第一轮
顺序 球员 球队 位置
状元 德怀特-霍华德 魔术 大前锋
榜眼 埃梅卡-奥卡福 山猫 大前锋
探花 本-戈登 公牛 组织后卫
4 肖-利文斯顿 快船 组织后卫
5 德文-哈里斯* 奇才 后卫
6 约什-柴德里斯 老鹰 小前锋
7 罗尔-丹格* 太阳 小前锋
8 拉菲尔-阿劳约 猛龙 中锋
9 安德烈-伊古欧达拉 76人 小前锋
10 卢克-杰克逊 骑士 小前锋
11 安德里斯-比耶德林斯 勇士 前锋
12 罗伯特-斯威夫特 超音速 中锋
13 塞巴斯蒂安-特尔法 开拓者 组织后卫
14 克里斯-汉普里斯 爵士 大前锋
15 艾尔-杰弗森 凯尔特人 大前锋
16 科克-斯耐德 爵士 得分后卫
17 约什-史密斯 老鹰 小前锋
18 J.R.-史密斯 黄蜂 后卫
19 多雷尔-赖特 热队 前锋
20 贾米尔-尼尔森* 掘金 组织后卫
21 波德科尔金* 爵士 中锋
22 维克托-克雅帕* 网队 小前锋
23 塞尔吉-蒙尼亚 开拓者 小前锋
24 德龙特-韦斯特 凯尔特人 后卫
25 托尼-阿伦 凯尔特人 得分后卫
26 凯文-马丁 国王 后卫
27 萨莎-武加西奇 湖人 后卫
28 本诺-乌德里 马刺 后卫
29 大卫-哈里森 步行者 中锋
注：由于森林狼受处罚被剥夺首轮选秀权，因此首轮选秀只有29个名额。

第二轮
30 安德森-瓦雷杰奥 魔术 大前锋
31 杰克逊-瓦罗曼* 公牛 中锋
32 约翰-拉莫斯 奇才 中锋
33 兰尼尔-查尔莫斯 快船 组织后卫
34 东塔-史密斯 老鹰 后卫
35 安德烈-埃梅特* 超音速 得分后卫
36 安东尼奥-布克斯* 魔术 后卫
37 罗伊尔-艾维 老鹰 后卫
38 克里斯-杜汉 公牛 组织后卫
39 阿尔伯特-米拉雷斯* 猛龙 大前锋
40 贾斯丁-雷德 凯尔特人 大前锋
41 大卫-杨 超音速 后卫
42 维克托-萨尼基德泽 老鹰 前锋
43 特雷沃-阿里扎 尼克斯 前锋
44 蒂姆-批克特 黄蜂 得分后卫
45 伯纳德-罗宾逊 山猫 小前锋
46 河升镇 开拓者 中锋
47 帕普-肖* 热队 大前锋
48 里奇-米纳尔德 国王 得分后卫
49 塞尔吉-里绍克 灰熊 大前锋
50 瓦西里斯-斯潘诺里斯* 小牛 组织后卫
51 克里斯蒂安-德雷杰 网队 前锋
52 罗曼-萨托 马刺 得分后卫
53 马特-弗雷杰 热队 小前锋
54 里奇-波尔丁 活塞 后卫
55 路易斯-弗洛雷斯* 火箭 后卫
56 马库斯-多希特 快船 中锋
57 塞尔吉-卡劳洛夫 马刺 中锋
58 布莱克-斯特普 森林狼 组织后卫
59 拉沙德-赖特 步行者 组织后卫
注：带星号的表示已被交换。
