第十四届釜山亚运会最终奖牌榜

1 中国 金:150 银:84 铜:74 总计:308
2 韩国 金:96 银:80 铜:84 总计:260
3 日本 金:44 银:73 铜:72 总计:189
4 哈萨克斯坦 金:20 银:26 铜:30 总计:76
5 乌兹别克斯坦 金:15 银:12 铜:24 总计:51
6 泰国 金:14 银:19 铜:10 总计:43
7 印度 金:11 银:12 铜:13 总计:36
8 中国台北 金:10 银:17 铜:25 总计:52
9 朝鲜 金:9 银:11 铜:13 总计:33
10 伊朗 金:8 银:14 铜:14 总计:36
11 沙特阿拉伯 金:7 银:1 铜:1 总计:9
12 马来西亚 金:6 银:8 铜:16 总计:30
13 新加坡 金:5 银:2 铜:10 总计:17
14 印度尼西亚 金:4 银:7 铜:12 总计:23
15 越南 金:4 银:7 铜:7 总计:18
16 中国香港 金:4 银:6 铜:11 总计:21
17 卡塔尔 金:4 银:5 铜:8 总计:17
18 菲律宾 金:3 银:7 铜:16 总计:26
19 巴林 金:3 银:2 铜:2 总计:7
20 科威特 金:2 银:1 铜:5 总计:8
21 斯里兰卡 金:2 银:1 铜:3 总计:6
22 巴基斯坦 金:1 银:6 铜:6 总计:13
23 缅甸 金:1 银:5 铜:6 总计:12
23 吉尔吉斯斯坦 金:1 银:5 铜:6 总计:12
25 土库曼斯坦 金:1 银:2 铜:1 总计:4
26 蒙古 金:1 银:1 铜:12 总计:14
27 黎巴嫩 金:1 银:0 铜:0 总计:1
28 塔吉克斯坦 金:0 银:2 铜:4 总计:6
29 澳门 金:0 银:2 铜:2 总计:4
30 阿联酋 金:0 银:2 铜:1 总计:3
31 孟加拉国 金:0 银:1 铜:0 总计:1
32 叙利亚 金:0 银:0 铜:3 总计:3
32 尼泊尔 金:0 银:0 铜:3 总计:3
34 老挝 金:0 银:0 铜:2 总计:2
34 约旦 金:0 银:0 铜:2 总计:2
36 阿富汗 金:0 银:0 铜:1 总计:1
36 也门 金:0 银:0 铜:1 总计:1
36 文莱 金:0 银:0 铜:1 总计:1
36 巴勒斯坦 金:0 银:0 铜:1 总计:1
总计 金:427 银:421 铜:502 总计:1350
